StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific_ID,Q89,D1 - gender,D2 - age,D3 - education,D4 - fluent?,D5 - ethnicity,Q54_First Click,Q54_Last Click,Q54_Page Submit,Q54_Click Count,Q63,Q64,A1_Attention_Check,Q65,Q1001_1,Q10002_1,Q1003_1,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,Q66,Q67,Q68,Q1005_1,Q1006_1,Q1007_1,A2_Attention_Check_1,A2_Attention_Check_2,Q56_First Click,Q56_Last Click,Q56_Page Submit,Q56_Click Count,Q69,Q70,Q71,Q125_1,Q126_1,Q127_1,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q72,Q73,Q74,Q129_1,Q130_1,Q131_1,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q99,Q100,B1_Attention_Check,Q101,Q133_1,Q134_1,Q135_1,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q102,Q103,Q104,Q137_1,Q138_1,Q139_1,B2_Attention_Check_1,B2_Attention_Check_2,Q62_First Click,Q62_Last Click,Q62_Page Submit,Q62_Click Count,Q105,Q106,Q107,Q141_1,Q142_1,Q143_1,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,Q108,Q109,Q110,Q145_1,Q146_1,Q147_1,Problems?,problems p2,Seen Before?,Study about?,Other Feedback?,Attention_groupA,Attention_groupB,FL_5_DO
18/11/2022 08:41,18/11/2022 08:50,Survey Preview,100,562,TRUE,18/11/2022 08:50,R_306vwKkvjP7NVqP,,,,,51.4021,-0.0916,preview,EN,,,Female,77,Sixth form (A levels or equivalent),Yes,,82.255,82.255,126.159,1,A small town in Massachusetts,Cornell,,Fast typing,,,,0,0,179.963,0,West Virginia,Consumer Science,Work culture and client types were different,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_20
21/11/2022 08:19,21/11/2022 08:35,IP Address,100,972,TRUE,21/11/2022 08:35,R_1IF47ozjJz9ggLx,,,,,51.4964,-0.1224,anonymous,EN,,I agree to complete this survey,Female,20,Sixth form (A levels or equivalent),Yes,White,4.168,127.939,128.657,6,A small town in Massachusetts,Duke,,Fast typing,,,,4.995,7.548,188.849,5,California,Political Science and Communications,Work culture and client types were different,,,,,,3.922,112.873,113.442,3,Outdoor activities,"Science, Technology, and Society",Photographic memory,,,,3.419,114.05,168.741,2,Wisconsin,Princeton,ACLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It went smoothly,-99,"No, this is my first time",How people’s language use would impact judgement of them - I’m not sure,-99,,,FL_20
21/11/2022 08:20,21/11/2022 08:36,IP Address,100,970,TRUE,21/11/2022 08:36,R_2zbH8KAPpMMHmD9,,,,,51.4647,-0.0509,anonymous,EN,,I agree to complete this survey,Male,20,Sixth form (A levels or equivalent),Yes,White,4.96,82.54,121.608,10,A small town in Massachusetts,Duke,,Fast typing,,,,1.223,109.612,193.295,6,California,Political Science and Communications,Work culture and client types were different,,,,,,1.603,112.319,112.863,7,Outdoor activities,"Science, Technology, and Society",Ambidexterity,,,,7.628,161.545,162.018,3,Wisconsin,Princeton,ACLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There were minor problems,Technical issues with videos not loading or starting on time however they were easily resolved ,"No, this is my first time",The hiring process via means online communication ,-99,,,FL_20
04/12/2022 12:52,04/12/2022 13:06,IP Address,100,832,TRUE,04/12/2022 13:06,R_qCRZQVxbqMozKql,,,,,51.6552,-0.3879,anonymous,EN,,I agree to complete this survey,Female,19,Sixth form (A levels or equivalent),Yes,White,0,0,121.486,0,A small town in Massachusetts,Duke,,Fast typing,,,,0,0,180.951,0,California,Political Science and Communications,Work culture and client types were different,,,,,,0,0,111.65,0,Outdoor activities,"Science, Technology, and Society",Photographic memory,,,,0,0,162.6,0,Wisconsin,Princeton,ACLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It went smoothly,-99,"No, this is my first time",whether we are more likely to hire people or view others more highly if they're the same race as us?,-99,,,FL_20
04/12/2022 16:00,04/12/2022 16:17,IP Address,100,1008,TRUE,04/12/2022 16:17,R_2dJYn7uZYG4tJbZ,,,,,51.536,-0.0925,anonymous,EN,,I agree to complete this survey,Female,18,Sixth form (A levels or equivalent),Yes,White,0,0,121.774,0,A small town in Massachusetts,Duke,,Fast typing,,,,0,0,182.073,0,California,Political Science and Communications,Work culture and client types were different,,,,,,110.195,110.195,111.856,1,Outdoor activities,"Science, Technology, and Society",Photographic memory,,,,0,0,163.515,0,Wisconsin,Stanford,ACLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It went smoothly,-99,"No, this is my first time",Gender/ race and perceived hireability  ,-99,,,FL_20
05/12/2022 07:29,05/12/2022 07:33,Survey Preview,100,183,TRUE,05/12/2022 07:33,R_OJMrDVEdhc0mMOl,,,,,51.4021,-0.0916,preview,EN,,-99,-99,-99,-99,-99,-99,0,0,150.987,0,-99,-99,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_20
05/12/2022 08:41,05/12/2022 09:03,IP Address,100,1319,TRUE,05/12/2022 09:03,R_3RkdjaB8Uu9MjS7,,,,,51.5245,-0.1567,anonymous,EN,,I agree to complete this survey,Female,20,Sixth form (A levels or equivalent),Yes,Asian / Asian British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,122.919,0,A small town in Texas,Cornell,,Word processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_21
05/12/2022 09:06,05/12/2022 09:51,IP Address,100,2696,TRUE,05/12/2022 09:51,R_1Q0C7MxcY78Eya8,,,,,51.5245,-0.1567,anonymous,EN,,I agree to complete this survey,Female,20,Sixth form (A levels or equivalent),Yes,Asian / Asian British,0,0,124.492,0,A small town in Texas,Duke,,Fast typing,7,7,7,0,0,433.949,0,California,Political Science and Communications,The other firm was insolvent,8,8,8,,,0,0,135.152,0,Outdoor activities,"Science, Technology, and Society",Photographic memory,6,5,6,0,0,185.43,0,Wisconsin,Princeton,ACLU,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There were significant problems. I don't think my responses should be included in the data,6 repeats in the scale,"No, this is my first time",Gender bias over candidates,No.,,,FL_20
05/12/2022 09:50,05/12/2022 10:08,IP Address,100,1052,TRUE,05/12/2022 10:08,R_UPJDBQhoYYsfMkx,,,,,51.5245,-0.1567,anonymous,EN,,I agree to complete this survey,Female,18,Sixth form (A levels or equivalent),Yes,White,0,0,129.154,0,A small town in Massachusetts,Duke,,Fast typing,8,9,9,203.067,203.067,213.119,1,California,Political Science and Communications,Work culture and client types were different,7,9,9,,,0,0,112.373,0,Outdoor activities,"Science, Technology, and Society",Photographic memory,3,6,9,0,0,161.772,0,Wisconsin,Princeton,ACLU,4,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It went smoothly,-99,"No, this is my first time",Being able to detect participants' changes in intonation and content of speech and how this affects their interview performance,-99,,,FL_20
05/12/2022 09:55,05/12/2022 10:19,IP Address,100,1485,TRUE,05/12/2022 10:19,R_2zo2rYsGwALjSdY,,,,,51.489,-0.215,anonymous,EN,,I agree to complete this survey,Female,21,Undergraduate degree (BSc/BA or equivalent),Yes,Asian / Asian British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,126.585,0,A small town in Massachusetts,Duke,,Word processing,7,6,8,0,0,186.742,0,California,Political Science and Communications,Work culture and client types were different,9,9,9,,,0,0,116.725,0,Outdoor activities,Psychology and Sociology,Photographic memory,8,9,8,0,0,165.129,0,Wisconsin,Princeton,ACLU,5,5,9,It went smoothly,-99,"No, this is my first time",job interview,no,,,FL_21
